Oficina Territorial,Año de la demanda,Mes de la demanda,Número de Solicitudes con Demanda
Medellín Occidente,"2,017",3,3
Bucaramanga,"2,016",10,3
Bucaramanga,"2,018",6,7
Medellín Oriente,"2,018",3,22
Carmen de Bolívar,"2,014",12,77
Barrancabermeja,"2,017",9,12
Medellín Occidente,"2,016",6,2
Cúcuta,"2,015",12,14
Barrancabermeja,"2,017",2,4
Caucasia,"2,018",4,17
Santa Marta,"2,018",6,56
Urabá,"2,014",8,11
Ibagué,"2,014",6,3
Ibagué,"2,017",1,8
Medellín Oriente,"2,018",7,63
Barrancabermeja,"2,017",12,91
Medellín Occidente,"2,016",9,4
Cúcuta,"2,013",11,156
Medellín Oriente,"2,018",6,59
Urabá,"2,014",5,24
Santa Marta,"2,017",12,79
Barrancabermeja,"2,015",8,5
Medellín Occidente,"2,015",10,11
Pasto,"2,018",7,28
Urabá,"2,017",1,2
Carmen de Bolívar,"2,014",5,18
Santa Marta,"2,018",7,34
Barrancabermeja,"2,018",4,14
Urabá,"2,016",12,32
Montería,"2,018",6,22
Medellín Oriente,"2,018",4,146
Urabá,"2,018",7,1
Caucasia,"2,018",7,9
Urabá,"2,015",12,266
Urabá,"2,016",10,12
Medellín Oriente,"2,015",9,5
Montería,"2,018",7,9
Villavicencio,"2,018",7,26
Cúcuta,"2,018",7,6
Ibagué,"2,017",7,1
Bucaramanga,"2,018",7,5
Florencia,"2,018",7,19
Urabá,"2,013",12,34
Bucaramanga,"2,017",12,12
Pasto,"2,015",10,17
Barrancabermeja,"2,018",7,5
Santa Marta,"2,015",9,55
Florencia,"2,018",6,43
Medellín Occidente,"2,017",7,13
Pasto,"2,015",7,66
Medellín Oriente,"2,015",7,47
Bucaramanga,"2,016",12,7
