Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
20/06/2017,VALLE,GUADALAJARA DE BUGA,Martes,8:00:00,PALO BLANCO,RURAL,CAÑADUZAL,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,27,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,"76,111,000",1
20/06/2017,VALLE,ROLDANILLO,Martes,12:25:00,LAS CRUCES,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,"76,622,000",1
20/06/2017,VICHADA,CUMARIBO,Martes,11:11:00,PUERTO PRINCIPE,RURAL,RANCHERIA,ARMA DE FUEGO,A PIE,A PIE,36,FEMENINO,CASADO,ECUADOR,INDEPENDIENTE,-,NO REPORTADO,"99,773,000",1
20/06/2017,VICHADA,CUMARIBO,Martes,11:11:00,PUERTO PRINCIPE,RURAL,RANCHERIA,ARMA DE FUEGO,A PIE,A PIE,53,MASCULINO,CASADO,ECUADOR,COMERCIANTE,-,PRIMARIA,"99,773,000",1
21/06/2017,ANTIOQUIA,APARTADÓ,Miércoles,19:30:00,CUATRO DE JUNIO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,16,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,"5,045,000",1
21/06/2017,ANTIOQUIA,LA PINTADA,Miércoles,23:10:00,CALLE CENTRAL,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,15,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,"5,390,000",1
21/06/2017,ANTIOQUIA,LA PINTADA,Miércoles,23:10:00,CALLE CENTRAL,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,"5,390,000",1
21/06/2017,ANTIOQUIA,SEGOVIA,Miércoles,23:30:00,SANTA MARTA,URBANA,DENTRO DE LA VIVIENDA,ARMA DE FUEGO,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,"5,736,000",1
21/06/2017,ARAUCA,TAME,Miércoles,11:30:00,VEREDA SANTA INES,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,CONDUCTOR TAXI,38,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"81,794,000",1
21/06/2017,ATLÁNTICO,SOLEDAD,Miércoles,16:20:00,VILLA DEL REY,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,39,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"8,758,000",1
21/06/2017,BOLÍVAR,ARJONA,Miércoles,19:00:00,CORREG. DE GAMBOTE,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,49,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,"13,052,000",1
21/06/2017,BOLÍVAR,ARJONA,Miércoles,19:00:00,CORREG. DE GAMBOTE,RURAL,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,"13,052,000",1
21/06/2017,CAQUETÁ,FLORENCIA (CT),Miércoles,17:00:00,VDA.  LAS HERMOSAS,RURAL,CARRETERA,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR MOTOCICLETA,CONDUCTOR MOTOCICLETA,50,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,"18,001,000",1
21/06/2017,CAUCA,SANTANDER DE QUILICHAO,Miércoles,22:46:00,LOS GUADUALES,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,31,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,"19,698,000",1
21/06/2017,CHOCÓ,ACANDÍ,Miércoles,21:55:00,CGTO. CAPURGANA,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,"27,006,000",1
21/06/2017,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,5:50:00,BELLAVISTA ALTA E-5,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,"11,001,000",1
21/06/2017,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,0:02:00,URB. INDUSTRIAL PENSILVANIA E-16,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,20,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,"11,001,000",1
21/06/2017,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,3:22:00,EL RESTREPO E-15,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,29,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,"11,001,000",1
21/06/2017,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,17:11:00,LA CATEDRAL E-17,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,54,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,"11,001,000",1
21/06/2017,CUNDINAMARCA,PARATEBUENO,Miércoles,21:10:00,VER. EL DIAMANTE,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,"25,530,000",1
21/06/2017,CUNDINAMARCA,SOACHA,Miércoles,18:50:00,LOS ROBLES,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,33,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,"25,754,000",1
21/06/2017,CUNDINAMARCA,SOACHA,Miércoles,16:45:00,LUIS CARLOS GALAN II,URBANA,DENTRO DE LA VIVIENDA,ARMA DE FUEGO,A PIE,A PIE,53,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,NO REPORTADO,"25,754,000",1
