FECHA,DEPARTAMENTO ,MUNICIPIO,DIA ,HORA,BARRIO,ZONA,CLASE SITIO,DELITO,ARMA EMPLEADA,MOVIL AGRESOR,MOVIL VICTIMA,EDAD,SEXO,ESTADO CIVIL,PAIS NACE,CLASE EMPLEADO,PROFESION,ESCOLARIDAD,CODIGO DANE,2014
31/10/2014,CÓRDOBA,LORICA,Viernes,10:45,CGTO LOS CORRALES,RURAL,FRENTE A COLEGIO NO REPORTADO VIA PUBLICA,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ARMA DE FUEGO,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,23417000,1
31/10/2014,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,22:00,SANTA ISABEL E-14,URBANA,CASAS DE HABITACION,ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,ESCOPOLAMINA,A PIE,A PIE,16,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
31/10/2014,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,14:00,LOS CEDRITOS E-1,URBANA,VIAS PUBLICAS,ARTÍCULO 210 A. ACOSO SEXUAL,NO REPORTADO,A PIE,A PIE,33,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,TECNICO EN SISTEMAS,TECNICO,11001000,1
31/10/2014,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),Viernes,8:00,BARRIO DIVINO NIÑO,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,95001000,1
31/10/2014,HUILA,NEIVA (CT),Viernes,7:00,LA VORAGINE,URBANA,CASAS DE HABITACION,ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,SIN EMPLEO DE ARMAS,A PIE,A PIE,42,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,NO REPORTADO,SECUNDARIA,41001000,1
31/10/2014,HUILA,PITALITO,Viernes,15:07,CIUDAD LABOYOS,URBANA,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,ANALFABETA,41551000,1
31/10/2014,META,ACACÍAS,Viernes,8:00,GUARATARA  I,URBANA,VIAS PUBLICAS,ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,ESCOPOLAMINA,A PIE,A PIE,22,FEMENINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,50006000,1
31/10/2014,META,VILLAVICENCIO (CT),Viernes,10:30,PLAYA RICA,URBANA,VIAS PUBLICAS,ARTÍCULO 210 A. ACOSO SEXUAL,ESCOPOLAMINA,A PIE,A PIE,41,FEMENINO,CASADO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,50001000,1
31/10/2014,NARIÑO,IPIALES,Viernes,15:15,CENTENARIO,URBANA,VIAS PUBLICAS,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,CONTUNDENTES,A PIE,A PIE,17,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,52356000,1
31/10/2014,NORTE DE SANTANDER,VILLA DEL ROSARIO,Viernes,0:00,CORREGIMIENTO LA PARADA,URBANA,VIAS PUBLICAS,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,CONTUNDENTES,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,54874000,1
